alpha,model,feature,weight
0.001,L2,T50,-148.537349369239
0.01,L2,T50,-149.24386717988247
0.1,L2,T50,-153.42459282937952
0.5,L2,T50,-159.34931821564524
1.0,L2,T50,-162.53909269009247
0.0001,LR,P2,5846.830289682819
0.001,LR,P2,5846.830289682819
0.01,LR,P2,5846.830289682819
0.1,LR,P2,5846.830289682819
0.5,LR,P2,5846.830289682819
1.0,LR,P2,5846.830289682819
0.0001,L1,P2,-57.869993042242285
0.001,L1,P2,-56.664290106485694
0.01,L1,P2,-44.44618929516145
0.1,L1,P2,-0.0
0.5,L1,P2,-0.0
1.0,L1,P2,0.0
0.0001,L2,P2,3752.856588431429
0.001,L2,P2,3730.837226727462
0.01,L2,P2,3509.6360636110367
0.1,L2,P2,2076.8641136061015
0.5,L2,P2,749.5436317343372
1.0,L2,P2,418.6816132847506
0.0001,LR,P15,-3801.5305439407107
0.001,LR,P15,-3801.5305439407107
0.01,LR,P15,-3801.5305439407107
0.1,LR,P15,-3801.5305439407107
0.5,LR,P15,-3801.5305439407107
1.0,LR,P15,-3801.5305439407107
0.0001,L1,P15,-3.4449093168540093
0.001,L1,P15,-3.19940528778435
0.01,L1,P15,-3.890506957222391
0.1,L1,P15,-6.560750069366192
0.5,L1,P15,-0.0
1.0,L1,P15,0.0
0.0001,L2,P15,-3801.3581092084623
0.001,L2,P15,-3772.0786921599733
0.01,L2,P15,-3499.4205680936334
0.1,L2,P15,-2035.073459568935
0.5,L2,P15,-720.0808031222361
1.0,L2,P15,-404.21708000561534
0.0001,LR,P30,-99.4168297248879
0.001,LR,P30,-99.4168297248879
0.01,LR,P30,-99.4168297248879
0.1,LR,P30,-99.4168297248879
0.5,LR,P30,-99.4168297248879
1.0,LR,P30,-99.4168297248879
0.0001,L1,P30,9.79505592666778
0.001,L1,P30,8.069568037896287
0.01,L1,P30,-2.2929676617867174
0.1,L1,P30,-11.16016356929851
0.5,L1,P30,-0.0
1.0,L1,P30,0.0
0.0001,L2,P30,-99.3077062717325
0.001,L2,P30,-99.58476101202065
0.01,L2,P30,-101.36178086190199
0.1,L2,P30,-113.54475004372684
0.5,L2,P30,-138.31914412717384
1.0,L2,P30,-142.949583290007
0.0001,LR,Nf,-1415.6249998779417
0.001,LR,Nf,-1415.6249998779417
0.01,LR,Nf,-1415.6249998779417
0.1,LR,Nf,-1415.6249998779417
0.5,LR,Nf,-1415.6249998779417
1.0,LR,Nf,-1415.6249998779417
0.0001,L1,Nf,361.0953577159566
0.001,L1,Nf,359.6876857241179
0.01,L1,Nf,339.54332956174636
0.1,L1,Nf,150.68148957768534
0.5,L1,Nf,0.0
1.0,L1,Nf,0.0
0.0001,L2,Nf,-1389.2814573416294
0.001,L2,Nf,-1234.1677592883916
0.01,L2,Nf,-686.0815720507009
0.1,L2,Nf,-241.60954539809202
0.5,L2,Nf,40.93191819906468
1.0,L2,Nf,121.82730348339484
0.0001,LR,Nc,-96.48006530585644
0.001,LR,Nc,-96.48006530585644
0.01,LR,Nc,-96.48006530585644
0.1,LR,Nc,-96.48006530585644
0.5,LR,Nc,-96.48006530585644
1.0,LR,Nc,-96.48006530585644
0.0001,L1,Nc,-14.305709034791347
0.001,L1,Nc,-13.189309129085531
