metric,model,score
Accuracy,Linear Regression,0.9387932500614146
Precission,Linear Regression,0.7734328944782864
Recall,Linear Regression,0.6536034540019927
F1_score,Linear Regression,0.7084870848708488
Accuracy,LR Lasso,0.9395869158525293
Precission,LR Lasso,0.7782154815836124
Recall,LR Lasso,0.6560943208236466
F1_score,LR Lasso,0.7119560320749617
Accuracy,LR Ridge,0.9395869158525293
Precission,LR Ridge,0.7741998821912429
Recall,LR Ridge,0.6547658585187646
F1_score,LR Ridge,0.7094916779127306
