index,variable,score,k,weight,data
test_0,Recall,0.7659049810948545,10,distance,0
test_0,F1_score,0.8027222605099932,10,distance,0
test_0,Accuracy,0.9671762504960412,10,distance,1
test_0,Precission,0.8790997906489881,10,distance,1
test_0,Recall,0.8283741574880815,10,distance,1
test_0,F1_score,0.852983495556496,10,distance,1
test_0,Accuracy,0.9653054668455564,10,distance,2
test_0,Precission,0.8741850220264317,10,distance,2
test_0,Recall,0.8155515370705244,10,distance,2
test_0,F1_score,0.8438509950671883,10,distance,2
test_0,Accuracy,0.9561594134431868,15,uniform,0
test_0,Precission,0.8469481836621796,15,uniform,0
test_0,Recall,0.7550550715107677,15,uniform,0
test_0,F1_score,0.7983660698765861,15,uniform,0
test_0,Accuracy,0.966798314405034,15,uniform,1
test_0,Precission,0.8801405975395431,15,uniform,1
test_0,Recall,0.8232779878349499,15,uniform,1
test_0,F1_score,0.8507602140490954,15,uniform,1
test_0,Accuracy,0.9644929042498913,15,uniform,2
test_0,Precission,0.8746880570409982,15,uniform,2
test_0,Recall,0.806674338319908,15,uniform,2
test_0,F1_score,0.8393055674335071,15,uniform,2
test_0,Accuracy,0.9565940399478449,15,distance,0
test_0,Precission,0.8483621641516378,15,distance,0
test_0,Recall,0.7578497451915174,15,distance,0
test_0,F1_score,0.8005557002691674,15,distance,0
test_0,Accuracy,0.9668172112095844,15,distance,1
test_0,Precission,0.8805628847845207,15,distance,1
test_0,Recall,0.8229492026960381,15,distance,1
test_0,F1_score,0.8507817811012917,15,distance,1
test_0,Accuracy,0.9651353956046033,15,distance,2
test_0,Precission,0.8769121309142653,15,distance,2
test_0,Recall,0.8104553674173928,15,distance,2
test_0,F1_score,0.8423750533959845,15,distance,2
test_0,Accuracy,0.9550822955838167,20,uniform,0
test_0,Precission,0.8620554904259476,20,uniform,0
test_0,Recall,0.7253000164392569,20,uniform,0
test_0,F1_score,0.7877868047495759,20,uniform,0
test_0,Accuracy,0.966306997486725,20,uniform,1
test_0,Precission,0.8917638483965015,20,uniform,1
test_0,Recall,0.8045372349169817,20,uniform,1
test_0,F1_score,0.8459078731311036,20,uniform,1
test_0,Accuracy,0.9635291672178234,20,uniform,2
test_0,Precission,0.8840392084335121,20,uniform,2
test_0,Recall,0.7857964819990136,20,uniform,2
test_0,F1_score,0.8320278503046127,20,uniform,2
test_0,Accuracy,0.9563294846841399,20,distance,0
test_0,Precission,0.8517344274524431,20,distance,0
test_0,Recall,0.7507808647049153,20,distance,0
test_0,F1_score,0.7980777632153778,20,distance,0
test_0,Accuracy,0.9673463217369943,20,distance,1
test_0,Precission,0.8839710809381062,20,distance,1
test_0,Recall,0.8240999506822292,20,distance,1
test_0,F1_score,0.8529862174578867,20,distance,1
test_0,Accuracy,0.9650976019955025,20,distance,2
test_0,Precission,0.8783494105037514,20,distance,2
test_0,Recall,0.8083182640144665,20,distance,2
test_0,F1_score,0.8418799760294495,20,distance,2
