Code,Name,Industry and Commercial 2005,Industry and Commercial 2006,Industry and Commercial 2007,Industry and Commercial 2008,Industry and Commercial 2009,Industry and Commercial 2010,Industry and Commercial 2011,Industry and Commercial 2012,Industry and Commercial 2013,Industry and Commercial 2014,Domestic 2005,Domestic 2006,Domestic 2007,Domestic 2008,Domestic 2009,Domestic 2010,Domestic 2011,Domestic 2012,Domestic 2013,Domestic 2014,Transport 2005,Transport 2006,Transport 2007,Transport 2008,Transport 2009,Transport 2010,Transport 2011,Transport 2012,Transport 2013,Transport 2014,N. LULUCF Net Emissions 2005,N. LULUCF Net Emissions 2006,N. LULUCF Net Emissions 2007,N. LULUCF Net Emissions 2008,N. LULUCF Net Emissions 2009,N. LULUCF Net Emissions 2010,N. LULUCF Net Emissions 2011,N. LULUCF Net Emissions 2012,N. LULUCF Net Emissions 2013,N. LULUCF Net Emissions 2014,Grand Total 2005,Grand Total 2006,Grand Total 2007,Grand Total 2008,Grand Total 2009,Grand Total 2010,Grand Total 2011,Grand Total 2012,Grand Total 2013,Grand Total 2014,"Population ('000s, mid-year estimate) 2005","Population ('000s, mid-year estimate) 2006","Population ('000s, mid-year estimate) 2007","Population ('000s, mid-year estimate) 2008","Population ('000s, mid-year estimate) 2009","Population ('000s, mid-year estimate) 2010","Population ('000s, mid-year estimate) 2011","Population ('000s, mid-year estimate) 2012","Population ('000s, mid-year estimate) 2013","Population ('000s, mid-year estimate) 2014",Per Capita Emissions (t) 2005,Per Capita Emissions (t) 2006,Per Capita Emissions (t) 2007,Per Capita Emissions (t) 2008,Per Capita Emissions (t) 2009,Per Capita Emissions (t) 2010,Per Capita Emissions (t) 2011,Per Capita Emissions (t) 2012,Per Capita Emissions (t) 2013,Per Capita Emissions (t) 2014,
E09000021,Kingston upon Thames,260.8,264.6,262.5,252.9,228.4,236.2,215.7,228.8,222.2,198.7,370.0,367.2,358.3,362.0,326.6,351.6,306.6,334.5,326.4,271.4,256.7,244.2,245.8,233.6,226.3,236.4,218.8,214.4,210.2,207.7,1.2,1.1,1.0,1.0,0.9,0.8,0.8,0.7,0.7,0.6,888.7,877.1,867.5,849.4,782.2,825.0,741.8,778.4,759.4,678.4,152.5,153.7,154.5,156.0,157.3,158.6,160.4,163.9,166.8,170.0,5.8,5.7,5.6,5.4,5.0,5.2,4.6,4.7,4.6,4.0,
E09000022,Lambeth,519.4,546.3,524.4,534.9,505.8,527.3,487.3,524.1,516.6,436.0,602.9,594.7,576.1,583.6,525.1,563.5,493.4,532.6,519.6,429.9,290.3,284.3,282.2,265.8,254.1,247.0,238.6,228.1,222.4,225.1,0.9,0.8,0.8,0.7,0.7,0.6,0.6,0.5,0.5,0.4,"1,413.4","1,426.2","1,383.5","1,385.1","1,285.7","1,338.4","1,219.9","1,285.4","1,259.1","1,091.5",277.6,280.5,285.0,289.1,294.1,297.7,304.5,310.2,314.2,318.2,5.1,5.1,4.9,4.8,4.4,4.5,4.0,4.1,4.0,3.4,
E09000023,Lewisham,310.8,313.0,302.1,259.9,235.1,246.9,225.6,234.9,219.5,190.2,575.0,565.7,549.7,554.0,498.2,532.5,466.3,503.0,489.2,407.2,282.0,276.3,275.0,262.0,252.5,247.9,240.8,234.5,226.0,227.0,1.4,1.3,1.2,1.1,1.0,1.0,0.9,0.8,0.8,0.7,"1,169.2","1,156.3","1,128.0","1,076.9",986.8,"1,028.3",933.5,973.3,935.5,825.1,254.9,258.0,261.2,266.5,270.4,272.5,276.9,281.6,286.2,291.9,4.6,4.5,4.3,4.0,3.6,3.8,3.4,3.5,3.3,2.8,
E09000024,Merton,290.7,286.5,270.5,361.0,319.0,336.8,299.8,316.5,316.8,224.0,434.9,431.9,419.9,426.9,385.6,415.6,363.4,393.5,386.4,321.9,183.4,177.0,176.5,167.0,160.2,158.1,151.5,149.2,145.7,144.2,1.3,1.2,1.1,1.0,1.0,0.9,0.8,0.8,0.7,0.6,910.3,896.6,868.1,955.9,865.7,911.4,815.5,860.0,849.6,690.7,190.6,192.5,194.3,195.9,198.1,199.1,200.5,202.2,203.2,203.5,4.8,4.7,4.5,4.9,4.4,4.6,4.1,4.3,4.2,3.4,
E09000025,Newham,653.1,752.2,738.8,752.2,732.6,797.0,747.4,752.6,765.5,624.4,470.7,469.0,460.6,465.8,421.8,454.7,401.6,429.3,416.8,350.2,330.2,334.7,335.2,317.1,312.0,301.2,288.6,288.1,268.6,285.9,0.9,0.8,0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.5,"1,454.9","1,556.7","1,535.3","1,535.8","1,467.0","1,553.5","1,438.3","1,470.5","1,451.5","1,261.0",253.8,258.0,266.3,276.5,286.4,299.2,310.5,314.1,318.2,324.3,5.7,6.0,5.8,5.6,5.1,5.2,4.6,4.7,4.6,3.9,
E09000026,Redbridge,244.9,242.1,233.8,229.7,208.8,211.5,189.4,206.7,193.6,182.7,571.2,567.2,551.7,564.8,513.0,553.1,481.9,521.2,509.4,425.1,292.0,293.1,292.1,264.8,259.4,257.8,274.5,272.0,261.1,265.4,1.5,1.4,1.3,1.2,1.2,1.1,1.0,1.0,0.9,0.8,"1,109.5","1,103.7","1,078.9","1,060.6",982.4,"1,023.6",946.9,"1,000.8",965.0,874.0,251.6,255.6,260.0,265.5,270.4,275.1,281.4,284.6,288.3,293.1,4.4,4.3,4.2,4.0,3.6,3.7,3.4,3.5,3.3,3.0,
E09000027,Richmond upon Thames,329.0,335.8,328.3,316.9,274.4,280.6,240.4,269.3,261.0,237.4,479.8,477.8,463.8,472.0,427.6,462.5,402.4,437.8,429.6,357.8,241.3,234.9,232.1,218.4,207.9,204.2,198.6,200.5,194.4,194.2,1.8,1.7,1.6,1.5,1.4,1.3,1.2,1.1,1.0,0.9,"1,051.9","1,050.1","1,025.8","1,008.8",911.3,948.6,842.6,908.7,886.1,790.2,181.5,182.5,182.4,182.9,184.4,186.3,187.5,189.1,191.4,193.6,5.8,5.8,5.6,5.5,4.9,5.1,4.5,4.8,4.6,4.1,
E09000028,Southwark,937.7,959.2,924.6,923.7,789.4,838.6,728.8,849.1,791.9,572.3,510.2,505.7,498.9,501.0,454.7,486.1,430.9,461.9,444.2,369.9,283.7,278.5,282.1,262.0,255.1,248.9,241.0,229.9,223.4,226.5,1.1,1.0,0.9,0.9,0.8,0.8,0.7,0.6,0.6,0.5,"1,732.7","1,744.5","1,706.6","1,687.6","1,500.0","1,574.3","1,401.4","1,541.6","1,460.1","1,169.1",261.8,267.6,272.6,277.0,281.1,283.8,288.7,293.5,298.5,302.5,6.6,6.5,6.3,6.1,5.3,5.5,4.9,5.3,4.9,3.9,
E09000029,Sutton,247.0,253.6,245.8,258.4,246.9,264.0,224.9,258.9,242.3,191.4,439.8,440.9,430.6,436.3,393.3,419.7,369.0,400.5,390.3,324.5,188.8,182.2,183.5,167.8,164.4,158.8,154.4,151.1,147.7,149.0,1.7,1.5,1.4,1.3,1.3,1.2,1.1,1.0,0.9,0.8,877.3,878.2,861.4,863.9,805.8,843.7,749.4,811.5,781.3,665.6,182.1,182.9,184.2,185.9,188.2,189.3,191.1,193.6,195.9,198.1,4.8,4.8,4.7,4.6,4.3,4.5,3.9,4.2,4.0,3.4,
E09000030,Tower Hamlets,"1,321.8","1,661.5","1,645.7","1,706.0","1,459.7","1,573.8","1,307.6","1,458.5","1,342.4","1,144.0",369.7,373.7,372.7,381.8,350.6,375.9,336.7,365.3,349.3,291.1,314.6,316.7,316.6,299.8,291.2,292.1,277.2,266.2,262.7,268.0,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,"2,006.8","2,352.5","2,335.6","2,388.2","2,102.1","2,242.4","1,922.0","2,090.4","1,954.8","1,703.5",213.4,218.4,225.3,231.9,240.5,248.5,256.0,263.0,272.9,284.0,9.4,10.8,10.4,10.3,8.7,9.0,7.5,7.9,7.2,6.0,
E09000031,Waltham Forest,286.2,306.9,277.0,308.6,258.1,280.4,243.2,256.7,243.4,230.3,498.4,493.6,480.4,487.1,437.9,469.5,411.8,444.2,433.8,361.9,206.8,200.4,198.7,183.4,180.0,179.2,169.2,174.0,173.4,184.2,1.3,1.2,1.1,1.0,1.0,0.9,0.9,0.8,0.7,3.9,992.7,"1,002.0",957.2,980.1,876.9,930.0,825.0,875.7,851.3,780.3,226.7,230.7,235.7,242.1,248.1,254.0,259.7,262.6,265.8,268.0,4.4,4.3,4.1,4.0,3.5,3.7,3.2,3.3,3.2,2.9,
E09000032,Wandsworth,531.3,538.5,496.9,417.4,378.2,404.5,355.4,381.4,367.7,336.2,644.3,640.0,625.5,638.3,576.1,618.6,541.2,589.4,573.3,477.2,306.9,271.5,284.9,270.6,252.0,251.0,238.7,236.4,227.1,224.6,1.3,1.2,1.1,1.0,1.0,0.9,0.8,0.8,0.7,0.6,"1,483.7","1,451.2","1,408.4","1,327.3","1,207.2","1,275.1","1,136.1","1,207.9","1,168.8","1,038.5",283.2,287.5,291.4,294.3,299.3,302.6,307.7,308.3,310.5,312.1,5.2,5.0,4.8,4.5,4.0,4.2,3.7,3.9,3.8,3.3,
E09000033,Westminster,"2,529.1","2,712.5","2,603.8","2,676.1","2,337.8","2,480.8","2,224.6","2,429.3","2,304.1","1,844.3",504.2,507.5,498.2,503.4,463.4,497.1,439.4,474.1,455.6,371.3,348.8,347.0,331.6,303.4,287.9,287.7,274.3,273.7,268.6,286.1,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,"3,382.8","3,567.6","3,434.1","3,483.5","3,089.7","3,266.1","2,938.7","3,177.5","3,028.7","2,502.0",223.1,222.8,220.6,218.7,217.0,217.2,219.6,223.9,226.8,233.3,15.2,16.0,15.6,15.9,14.2,15.0,13.4,14.2,13.4,10.7,
E12000001,North East,"22,050.9","21,336.3","21,163.4","20,258.3","17,186.4","13,963.9","12,352.1","16,957.4","17,142.9","15,150.6","6,579.5","6,508.1","6,250.7","6,259.6","5,614.2","6,003.0","5,215.0","5,629.3","5,526.7","4,601.3","5,061.3","4,969.0","4,984.8","4,740.8","4,597.4","4,537.9","4,474.0","4,441.3","4,369.1","4,406.9","-2,786.9","-2,860.5","-2,925.6","-2,970.0","-2,990.1","-3,029.1","-3,036.8","-3,057.9","-3,052.3","-3,067.5","30,904.8","29,953.0","29,473.4","28,288.7","24,408.0","21,475.7","19,004.4","23,970.1","23,986.4","21,091.4","2,547.1","2,552.6","2,562.0","2,569.3","2,575.4","2,586.9","2,596.4","2,602.3","2,610.5","2,618.7",12.1,11.7,11.5,11.0,9.5,8.3,7.3,9.2,9.2,8.1,
E12000002,North West,"26,876.2","26,194.8","25,587.6","24,998.0","21,558.2","23,098.2","20,826.2","22,508.5","20,648.2","17,611.5","17,716.9","17,624.3","17,068.1","17,057.5","15,357.0","16,368.9","14,234.6","15,269.3","14,833.1","12,303.8","15,194.3","14,974.6","14,997.9","14,400.1","14,046.4","13,880.3","13,659.7","13,454.2","13,270.5","13,400.0",-152.5,-194.7,-236.8,-273.7,-286.2,-311.7,-329.2,-352.1,-346.6,-374.1,"59,634.9","58,598.9","57,416.8","56,181.9","50,675.5","53,035.7","48,391.2","50,879.9","48,405.1","42,941.3","6,870.0","6,901.6","6,929.3","6,958.5","6,986.2","7,019.9","7,056.0","7,084.3","7,103.3","7,133.0",8.7,8.5,8.3,8.1,7.3,7.6,6.9,7.2,6.8,6.0,
E12000003,Yorkshire and the Humber,"27,934.8","27,727.7","26,811.3","25,598.7","20,943.4","23,158.4","21,837.5","21,404.5","21,633.8","19,038.8","13,352.3","13,212.8","12,679.9","12,688.5","11,473.4","12,365.1","10,808.6","11,542.7","11,252.7","9,461.9","11,777.9","11,644.5","11,776.4","11,204.4","10,771.4","10,682.6","10,525.1","10,405.8","10,359.1","10,531.9",340.2,303.9,233.9,188.9,200.7,171.1,151.3,126.6,139.5,94.1,"53,405.2","52,888.8","51,501.6","49,680.5","43,388.9","46,377.2","43,322.5","43,479.6","43,385.2","39,126.7","5,108.4","5,134.0","5,164.1","5,198.7","5,223.3","5,254.8","5,288.2","5,316.7","5,337.7","5,360.0",10.5,10.3,10.0,9.6,8.3,8.8,8.2,8.2,8.1,7.3,
E12000004,East Midlands,"18,496.9","18,347.2","17,407.2","16,965.1","14,826.6","15,818.0","14,501.9","15,023.9","15,189.6","14,108.6","11,376.4","11,287.7","10,961.8","10,987.0","9,891.9","10,686.3","9,336.2","9,996.4","9,789.2","8,224.8","11,313.1","11,268.5","11,357.0","10,806.6","10,439.3","10,437.7","10,233.9","10,201.4","10,145.9","10,254.3",336.4,312.1,261.8,245.7,260.9,232.1,215.5,192.1,166.3,108.5,"41,522.8","41,215.5","39,987.8","39,004.4","35,418.7","37,174.0","34,287.5","35,413.9","35,290.9","32,696.2","4,329.1","4,366.7","4,404.8","4,441.1","4,471.7","4,507.1","4,537.4","4,567.7","4,598.4","4,637.4",9.6,9.4,9.1,8.8,7.9,8.2,7.6,7.8,7.7,7.1,
